"Participant","Sample","Realism","Exciting"
"S001","Sample1",0.683333333333333,0.75
"S002","Sample1",0.826666666666667,0.99
"S003","Sample1",0.516666666666667,0.52
"S004","Sample1",0.606666666666667,0.483333333333333
"S005","Sample1",0.81,1
"S006","Sample1",0.6,0.223333333333333
"S007","Sample1",0.353333333333333,0.626666666666667
"S008","Sample1",0.74,0.846666666666667
"S009","Sample1",0.713333333333333,0.316666666666667
"S010","Sample1",0.636666666666667,0.686666666666667
"S011","Sample1",0.686666666666667,0.89
"S012","Sample1",0.906666666666667,0.983333333333333
"S013","Sample1",0.496666666666667,0.613333333333333
"S014","Sample1",0.86,1
"S015","Sample1",0.686666666666667,0.62
"S016","Sample1",0.883333333333333,1
"S017","Sample1",0.496666666666667,0.643333333333333
"S018","Sample1",0.89,1
"S019","Sample1",0.6,0.5
"S020","Sample1",1,0.97
"S021","Sample1",0.84,0.996666666666667
"S022","Sample1",0.773333333333333,0.72
"S023","Sample1",0.58,0.926666666666667
"S024","Sample1",0.706666666666667,0.85
"S025","Sample1",0.913333333333333,0.35
"S026","Sample1",0.58,0.703333333333333
"S027","Sample1",0.83,0.956666666666667
"S028","Sample1",0.803333333333333,0.64
"S029","Sample1",0.67,0.523333333333333
"S030","Sample1",0.61,0.72
"S031","Sample1",0.34,0.683333333333333
"S032","Sample1",0.626666666666667,1
"S033","Sample1",0.75,0.436666666666667
"S034","Sample1",0.553333333333333,0.476666666666667
"S035","Sample1",0.513333333333333,0.416666666666667
"S036","Sample1",0.7,0.976666666666667
"S037","Sample1",0.823333333333333,0.6
"S038","Sample1",0.55,0.5
"S039","Sample1",0.676666666666667,0.45
"S040","Sample1",0.58,0.416666666666667
"S041","Sample1",1,0.863333333333333
"S042","Sample1",0.593333333333333,0.606666666666667
"S043","Sample1",0.666666666666667,0.586666666666667
"S044","Sample1",0.57,1
"S045","Sample1",0.413333333333333,0.52
"S046","Sample1",0.82,0.996666666666667
"S047","Sample1",0.473333333333333,0.733333333333333
"S048","Sample1",0.55,0.713333333333333
