"Participant","Sex","Item","Real","Attractive","Beauty"
"S001","Male","NF-1001",0.14,0.360028,0.420016
"S001","Male","NF-1002",0.95,0.74995,0.579984
"S001","Male","NF-1003",0.19,0.729954,0.54999
"S001","Male","NF-1004",0.91,0.420016,0.440012
"S001","Male","NF-1005",0.86,0.59998,0.569986
"S001","Male","NF-1006",0.12,0.719956,0.59998
"S001","Male","NF-1008",0.82,0.719956,0.669966
"S001","Male","NF-1009",0.14,0.579984,0.59998
"S001","Male","NF-1012",0.08,0.579984,0.559988
"S001","Male","NF-1013",0.16,0.330034,0.420016
"S001","Male","NF-1014",0.87,0.54999,0.539992
"S001","Male","NF-1015",0.13,0.629974,0.569986
"S001","Male","NF-1016",0.11,0.629974,0.579984
"S001","Male","NF-1017",0.93,0.280044,0.420016
"S001","Male","NF-1018",0.21,0.69996,0.59998
"S001","Male","NF-1020",0.25,0.59998,0.569986
"S001","Male","NF-1021",0.76,0.729954,0.579984
"S001","Male","NF-1022",0.14,0.609978,0.470006
"S001","Male","NF-1023",0.1,0.360028,0.440012
"S001","Male","NF-1024",0.78,0.390022,0.420016
"S001","Male","NF-1025",0.13,0.59998,0.589982
"S001","Male","NF-1026",0.14,0.280044,0.390022
"S001","Male","NF-1028",0.83,0.539992,0.539992
"S001","Male","NF-1030",0.85,0.340032,0.609978
"S001","Male","NF-1031",0.16,0.360028,0.430014
"S001","Male","NF-1032",0.83,0.79994,0.74995
"S001","Male","NF-1034",0.19,0.310038,0.310038
"S001","Male","NF-1036",0.19,0.659968,0.54999
"S001","Male","NF-1037",0.81,0.79994,0.69996
"S001","Male","NF-1039",0.14,0.779944,0.59998
"S001","Male","NF-1040",0.09,0.64997,0.579984
"S001","Male","NF-1041",0.81,0.360028,0.430014
"S001","Male","NF-1042",0.84,0.629974,0.569986
"S001","Male","NF-1043",0.23,0.310038,0.45001
"S001","Male","NF-1044",0.17,0.589982,0.440012
"S001","Male","NF-1045",0.04,0.340032,0.430014
"S001","Male","NF-1046",0.25,0.74995,0.619976
"S001","Male","NF-1047",0.13,0.410018,0.430014
"S001","Male","NF-1048",0.89,0.69996,0.559988
"S001","Male","NF-1049",0.03,0.54999,0.539992
"S001","Male","NF-1050",0.03,0.380024,0.45001
"S001","Male","NF-1051",0.88,0.589982,0.529994
"S001","Male","NF-1053",0.9,0.280044,0.280044
"S001","Male","NF-1054",0.07,0.619976,0.569986
"S001","Male","NF-1056",0.78,0.739952,0.609978
"S001","Male","NF-1057",0.09,0.25005,0.40002
"S001","Male","NF-1059",0.05,0.410018,0.470006
"S001","Male","NF-1060",0.1,0.340032,0.390022
"S001","Male","NF-1061",0.07,0.380024,0.460008
"S001","Male","NF-1062",0.91,0.839932,0.689962
"S001","Male","NF-1063",0.04,0.689962,0.579984
"S001","Male","NF-1065",0.82,0.74995,0.54999
"S001","Male","NF-1066",0.82,0.719956,0.579984
"S001","Male","NF-1067",0.91,0.25005,0.30004
"S001","Male","NF-1068",0.93,0.360028,0.40002
"S001","Male","NF-1069",0.14,0.380024,0.390022
"S001","Male","NF-1071",0.11,0.420016,0.40002
"S001","Male","NF-1072",0.13,0.629974,0.589982
"S001","Male","NF-1073",0.86,0.35003,0.35003
"S001","Male","NF-1075",0.15,0.410018,0.470006
"S001","Male","NF-1076",0.13,0.809938,0.69996
"S001","Male","NF-1077",0.07,0.430014,0.45001
"S001","Male","NF-1079",0.18,0.59998,0.59998
"S001","Male","NF-1080",0.07,0.430014,0.460008
"S001","Male","NF-1081",0.92,0.669966,0.579984
"S001","Male","NF-1082",0.1,0.619976,0.569986
"S001","Male","NF-1083",0.28,0.360028,0.410018
"S001","Male","NF-1084",0.15,0.679964,0.559988
"S001","Male","NF-1085",0.12,0.370026,0.45001
"S001","Male","NF-1086",0.16,0.739952,0.559988
"S001","Male","NF-1087",0.06,0.170066,0.290042
"S001","Male","NF-1088",0.83,0.689962,0.59998
"S001","Male","NF-1089",0.84,0.45001,0.569986
"S001","Male","NF-1093",0.12,0.59998,0.589982
"S001","Male","NF-1094",0.9,0.79994,0.619976
"S001","Male","NF-1095",0.94,0.370026,0.380024
"S001","Male","NF-1096",0.18,0.669966,0.54999
"S001","Male","NF-1097",0.09,0.619976,0.609978
"S001","Male","NF-1098",0.19,0.569986,0.569986
"S001","Male","NF-1099",0.06,0.380024,0.410018
"S001","Male","NF-1100",0.15,0.79994,0.79994
"S001","Male","NF-1101",0.88,0.569986,0.430014
"S001","Male","NF-1103",0.11,0.30004,0.35003
"S001","Male","NF-1105",0.1,0.569986,0.40002
"S001","Male","NF-1106",0.05,0.619976,0.569986
"S001","Male","NF-1107",0.82,0.390022,0.420016
"S001","Male","NF-1108",0.18,0.659968,0.529994
"S001","Male","NF-1109",0.07,0.460008,0.470006
"S001","Male","NF-1110",0.09,0.589982,0.589982
"S002","Female","NM-1007",0.72,0.440012,0.430014
"S002","Female","NM-1010",0.69,0.30004,0.320036
"S002","Female","NM-1011",0.63,0.240052,0.35003
"S002","Female","NM-1019",0.27,0.270046,0.260048
"S002","Female","NM-1027",0.66,0.360028,0.45001
"S002","Female","NM-1029",0.9,0.739952,0.739952
"S002","Female","NM-1033",0.66,0.30004,0.25005
"S002","Female","NM-1035",0.74,0.390022,0.440012
"S002","Female","NM-1038",0.9,0.559988,0.589982
"S002","Female","NM-1052",0.89,0.529994,0.54999
"S002","Female","NM-1055",0.77,0.320036,0.30004
"S002","Female","NM-1058",0.72,0.280044,0.320036
"S002","Female","NM-1064",0.67,0.769946,0.819936
"S002","Female","NM-1070",0.9,0.40002,0.410018
"S002","Female","NM-1074",0.77,0.659968,0.59998
"S002","Female","NM-1090",0.75,0.629974,0.559988
"S002","Female","NM-1091",0.88,0.64997,0.64997
"S002","Female","NM-1092",0.26,0.380024,0.420016
"S002","Female","NM-1102",0.58,0.639972,0.659968
"S002","Female","NM-1104",0.68,0.35003,0.40002
"S003","Female","NM-1007",0.68,0.280044,0.40002
"S003","Female","NM-1010",0.68,0.310038,0.45001
"S003","Female","NM-1011",0.67,0.420016,0.430014
"S003","Female","NM-1019",0.69,0.40002,0.440012
"S003","Female","NM-1027",0.64,0.360028,0.430014
"S003","Female","NM-1029",0.3,0.539992,0.569986
"S003","Female","NM-1033",0.66,0.310038,0.370026
"S003","Female","NM-1035",0.76,0.320036,0.430014
"S003","Female","NM-1038",0.28,0.290042,0.40002
"S003","Female","NM-1052",0.63,0.290042,0.410018
"S003","Female","NM-1055",0.64,0.210058,0.270046
"S003","Female","NM-1058",0.71,0.430014,0.579984
"S003","Female","NM-1064",0.67,0.330034,0.460008
"S003","Female","NM-1070",0.75,0.360028,0.390022
"S003","Female","NM-1074",0.34,0.420016,0.470006
"S003","Female","NM-1090",0.65,0.360028,0.440012
"S003","Female","NM-1091",0.73,0.430014,0.45001
"S003","Female","NM-1092",0.23,0.330034,0.410018
"S003","Female","NM-1102",0.3,0.360028,0.440012
"S003","Female","NM-1104",0.31,0.330034,0.380024
"S004","Female","NM-1007",0.86,0.320036,0.410018
"S004","Female","NM-1010",0.14,0.220056,0.260048
"S004","Female","NM-1011",0.17,0.330034,0.30004
"S004","Female","NM-1019",0.12,0.20006,0.230054
"S004","Female","NM-1027",0.78,0.35003,0.330034
"S004","Female","NM-1029",0.11,0.529994,0.589982
"S004","Female","NM-1033",0.79,0.280044,0.260048
"S004","Female","NM-1035",0.84,0.360028,0.370026
"S004","Female","NM-1038",0.13,0.260048,0.290042
"S004","Female","NM-1052",0.1,0.659968,0.769946
"S004","Female","NM-1055",0.7,0.160068,0.240052
"S004","Female","NM-1058",0.81,0.539992,0.629974
"S004","Female","NM-1064",0.79,0.64997,0.74995
"S004","Female","NM-1070",0.11,0.320036,0.430014
"S004","Female","NM-1074",0,0.559988,0.74995
"S004","Female","NM-1090",0.13,0.390022,0.460008
"S004","Female","NM-1091",0.77,0.529994,0.559988
"S004","Female","NM-1092",0.16,0.40002,0.589982
"S004","Female","NM-1102",0.12,0.35003,0.360028
"S004","Female","NM-1104",0.89,0.529994,0.569986
"S005","Male","NF-1001",0,1e-04,1e-04
"S005","Male","NF-1002",0.02,0.839932,0.79994
"S005","Male","NF-1003",1,0.629974,0.619976
"S005","Male","NF-1004",1,1e-04,0.759948
"S005","Male","NF-1005",1,0.659968,0.79994
"S005","Male","NF-1006",0.01,0.59998,0.579984
"S005","Male","NF-1008",1,0.819936,0.739952
"S005","Male","NF-1009",1,0.629974,0.719956
"S005","Male","NF-1012",0,0.839932,0.739952
"S005","Male","NF-1013",0,0.609978,0.370026
"S005","Male","NF-1014",0.99,0.340032,0.669966
"S005","Male","NF-1015",1,0.609978,0.569986
"S005","Male","NF-1016",0.01,0.639972,0.64997
"S005","Male","NF-1017",0.01,0.340032,0.59998
"S005","Male","NF-1018",0,0.559988,0.619976
"S005","Male","NF-1020",1,0.929914,0.25005
"S005","Male","NF-1021",0.02,0.25005,0.230054
"S005","Male","NF-1022",1,0.589982,1e-04
"S005","Male","NF-1023",0.01,0.589982,0.609978
"S005","Male","NF-1024",0,0.140072,0.20006
"S005","Male","NF-1025",0,0.719956,0.629974
"S005","Male","NF-1026",0.99,0.230054,0.090082
"S005","Male","NF-1028",1,0.420016,0.370026
"S005","Male","NF-1030",1,0.579984,0.629974
"S005","Male","NF-1031",1,0.10008,0.210058
"S005","Male","NF-1032",1,0.809938,0.669966
"S005","Male","NF-1034",0,1e-04,0.260048
"S005","Male","NF-1036",0,0.639972,0.69996
"S005","Male","NF-1037",0,0.260048,0.390022
"S005","Male","NF-1039",1,0.739952,0.579984
"S005","Male","NF-1040",1,0.59998,0.320036
"S005","Male","NF-1041",1,0.579984,0.619976
"S005","Male","NF-1042",0,0.59998,0.380024
"S005","Male","NF-1043",0.96,0.40002,0.59998
"S005","Male","NF-1044",1,0.739952,0.64997
"S005","Male","NF-1045",1,0.59998,0.539992
"S005","Male","NF-1046",1,0.769946,0.74995
"S005","Male","NF-1047",1,0.30004,0.290042
"S005","Male","NF-1048",1,0.090082,0.190062
"S005","Male","NF-1049",0,0.669966,0.719956
"S005","Male","NF-1050",1,1e-04,0.480004
"S005","Male","NF-1051",0.99,0.420016,0.320036
"S005","Male","NF-1053",0.98,0.140072,0.130074
"S005","Male","NF-1054",0.99,0.579984,0.579984
"S005","Male","NF-1056",1,0.779944,0.779944
"S005","Male","NF-1057",1,0.669966,0.629974
"S005","Male","NF-1059",1,0.35003,0.340032
"S005","Male","NF-1060",1,1e-04,0.060088
"S005","Male","NF-1061",1,0.320036,0.180064
"S005","Male","NF-1062",1,0.64997,0.639972
"S005","Male","NF-1063",0,0.729954,0.639972
"S005","Male","NF-1065",1,0.639972,0.729954
"S005","Male","NF-1066",1,0.94991,0.659968
"S005","Male","NF-1067",0.94,0.360028,0.110078
"S005","Male","NF-1068",0.99,0.220056,0.25005
"S005","Male","NF-1069",0.99,0.230054,0.280044
"S005","Male","NF-1071",0,0.619976,0.689962
"S005","Male","NF-1072",1,0.59998,0.579984
"S005","Male","NF-1073",1,0.909918,0.809938
"S005","Male","NF-1075",1,0.729954,0.15007
"S005","Male","NF-1076",0,0.74995,0.74995
"S005","Male","NF-1077",0.01,0.170066,0.080084
"S005","Male","NF-1079",0,0.9999,0.240052
"S005","Male","NF-1080",1,0.889922,0.74995
"S005","Male","NF-1081",1,0.719956,0.59998
"S005","Male","NF-1082",1,0.779944,0.619976
"S005","Male","NF-1083",0.01,0.789942,0.609978
"S005","Male","NF-1084",0.02,0.25005,0.579984
"S005","Male","NF-1085",0,0.59998,0.59998
"S005","Male","NF-1086",1,0.74995,0.84993
"S005","Male","NF-1087",0.03,1e-04,1e-04
"S005","Male","NF-1088",0.98,0.59998,0.79994
"S005","Male","NF-1089",0,0.559988,0.669966
"S005","Male","NF-1093",0.02,0.589982,0.709958
"S005","Male","NF-1094",1,0.9999,0.9999
"S005","Male","NF-1095",1,0.609978,0.609978
"S005","Male","NF-1096",0,0.739952,0.809938
"S005","Male","NF-1097",0.02,0.929914,0.719956
"S005","Male","NF-1098",1,0.569986,0.59998
"S005","Male","NF-1099",0,0.74995,0.619976
"S005","Male","NF-1100",0,0.69996,0.639972
"S005","Male","NF-1101",1,0.639972,0.569986
"S005","Male","NF-1103",0,0.190062,0.130074
"S005","Male","NF-1105",0.01,0.809938,0.79994
"S005","Male","NF-1106",1,0.9999,0.9999
"S005","Male","NF-1107",1,0.210058,0.609978
"S005","Male","NF-1108",0.99,0.859928,0.659968
"S005","Male","NF-1109",0,0.320036,0.15007
"S005","Male","NF-1110",0,0.320036,0.180064
"S006","Male","NF-1001",1,0.170066,0.280044
"S006","Male","NF-1002",0.67,0.330034,0.320036
"S006","Male","NF-1003",0.66,0.390022,0.30004
"S006","Male","NF-1004",0.77,0.380024,0.220056
"S006","Male","NF-1005",0.89,0.460008,0.35003
"S006","Male","NF-1006",0.82,0.190062,0.310038
