"Participant","Sex","Condition","Item","Real","Attractive","Beauty"
"S045","Female","Photograph","NM-1104",0.666666666666667,0.333333333333333,0.333333333333333
"S045","Female","AI-Generated","NM-1102",0.333333333333333,0.333333333333333,0.333333333333333
"S045","Female","AI-Generated","NM-1029",0.333333333333333,0.666666666666667,0.5
"S045","Female","AI-Generated","NM-1091",0.166666666666667,0.5,0.333333333333333
"S045","Female","AI-Generated","NM-1010",0.166666666666667,0.333333333333333,0.333333333333333
"S045","Female","Photograph","NM-1070",0.666666666666667,0.333333333333333,0.333333333333333
"S045","Female","AI-Generated","NM-1033",0,0.166666666666667,0.166666666666667
"S045","Female","Photograph","NM-1064",0.5,0.333333333333333,0.333333333333333
"S045","Female","AI-Generated","NM-1092",0.166666666666667,0.333333333333333,0.333333333333333
"S045","Female","Photograph","NM-1038",0.833333333333333,0.666666666666667,0.666666666666667
"S045","Female","Photograph","NM-1055",0.166666666666667,0.333333333333333,0.333333333333333
"S045","Female","Photograph","NM-1035",0.666666666666667,0.666666666666667,0.5
"S045","Female","Photograph","NM-1011",0.166666666666667,0.666666666666667,0.666666666666667
"S045","Female","AI-Generated","NM-1027",0.333333333333333,0.5,0.5
"S045","Female","Photograph","NM-1090",0.666666666666667,0.5,0.5
"S045","Female","Photograph","NM-1058",1,0.833333333333333,0.666666666666667
"S045","Female","AI-Generated","NM-1074",0.833333333333333,0.666666666666667,0.666666666666667
"S045","Female","AI-Generated","NM-1007",0.333333333333333,0.333333333333333,0.333333333333333
"S045","Female","AI-Generated","NM-1019",0,0.5,0.5
"S045","Female","Photograph","NM-1052",0.833333333333333,0.333333333333333,0.333333333333333
"S157","Female","Photograph","NM-1091",0.166666666666667,0,0
"S157","Female","AI-Generated","NM-1035",0.166666666666667,0,0
"S157","Female","Photograph","NM-1055",0.333333333333333,0,0
"S157","Female","Photograph","NM-1092",0.166666666666667,0,0
"S157","Female","Photograph","NM-1007",0.333333333333333,0,0
"S157","Female","Photograph","NM-1052",0.166666666666667,0,0
"S157","Female","AI-Generated","NM-1090",0.166666666666667,0,0
"S157","Female","AI-Generated","NM-1070",0.333333333333333,0,0
"S157","Female","AI-Generated","NM-1038",0.333333333333333,0,0
"S157","Female","Photograph","NM-1011",0.666666666666667,0,0
"S157","Female","AI-Generated","NM-1010",0.166666666666667,0,0
"S157","Female","AI-Generated","NM-1027",0.5,0,0
"S157","Female","Photograph","NM-1033",0.333333333333333,0,0
"S157","Female","AI-Generated","NM-1058",0.333333333333333,0.833333333333333,0.666666666666667
"S157","Female","Photograph","NM-1064",0.666666666666667,0,0
"S157","Female","Photograph","NM-1104",0.833333333333333,0,0
"S157","Female","Photograph","NM-1102",0.833333333333333,0,0
"S157","Female","AI-Generated","NM-1074",0.166666666666667,0,0
"S157","Female","AI-Generated","NM-1029",0.666666666666667,0,0
"S157","Female","AI-Generated","NM-1019",0.666666666666667,0,0
"S219","Female","AI-Generated","NM-1070",0.833333333333333,0.333333333333333,0.333333333333333
"S219","Female","AI-Generated","NM-1091",0.666666666666667,0.166666666666667,0.5
"S219","Female","Photograph","NM-1064",0.833333333333333,0.5,0.333333333333333
"S219","Female","AI-Generated","NM-1010",0.333333333333333,0.333333333333333,0.166666666666667
"S219","Female","AI-Generated","NM-1058",0.333333333333333,0.5,0.5
"S219","Female","Photograph","NM-1038",0.833333333333333,0.5,0.5
"S219","Female","Photograph","NM-1035",0.5,0.5,0.5
"S219","Female","AI-Generated","NM-1029",0.166666666666667,0.5,0.5
"S219","Female","Photograph","NM-1104",0.166666666666667,0.333333333333333,0.333333333333333
"S219","Female","Photograph","NM-1007",0.166666666666667,0.333333333333333,0.333333333333333
"S219","Female","Photograph","NM-1011",0.333333333333333,0.666666666666667,0.666666666666667
"S219","Female","AI-Generated","NM-1102",0.666666666666667,0.333333333333333,0.333333333333333
"S219","Female","AI-Generated","NM-1019",0.666666666666667,0.5,0.5
"S219","Female","AI-Generated","NM-1052",0.833333333333333,0.5,0.666666666666667
"S219","Female","Photograph","NM-1074",0.166666666666667,0.5,0.5
"S219","Female","Photograph","NM-1090",0.333333333333333,0.333333333333333,0.333333333333333
"S219","Female","AI-Generated","NM-1092",0.5,0.333333333333333,0.333333333333333
"S219","Female","Photograph","NM-1033",0.333333333333333,0.5,0.333333333333333
"S219","Female","AI-Generated","NM-1055",0.166666666666667,0.5,0.333333333333333
"S219","Female","Photograph","NM-1027",0.5,0.333333333333333,0.333333333333333
"S208","Female","AI-Generated","NF-1015",0.666666666666667,0.333333333333333,0.5
"S208","Female","Photograph","NF-1101",0.833333333333333,0.666666666666667,0.666666666666667
"S208","Female","AI-Generated","NF-1040",0.833333333333333,0.333333333333333,0.333333333333333
"S208","Female","Photograph","NF-1077",0.333333333333333,0.333333333333333,0.333333333333333
"S208","Female","Photograph","NF-1098",0.666666666666667,0.666666666666667,0.666666666666667
"S208","Female","AI-Generated","NF-1031",0.833333333333333,0.166666666666667,0.333333333333333
"S208","Female","AI-Generated","NF-1097",0.833333333333333,0.833333333333333,0.666666666666667
"S208","Female","AI-Generated","NF-1048",0.333333333333333,0.166666666666667,0.333333333333333
"S208","Female","AI-Generated","NF-1069",1,0.5,0.5
"S208","Female","Photograph","NF-1016",0.333333333333333,0.666666666666667,0.666666666666667
"S208","Female","Photograph","NF-1024",0.333333333333333,0.666666666666667,0.333333333333333
"S208","Female","AI-Generated","NF-1060",0.666666666666667,0.333333333333333,0.5
"S208","Female","Photograph","NF-1034",0.666666666666667,0,0.333333333333333
"S208","Female","AI-Generated","NF-1020",0.666666666666667,0.5,0.333333333333333
"S208","Female","Photograph","NF-1110",0.333333333333333,0.5,0.333333333333333
"S208","Female","AI-Generated","NF-1006",0.5,0.166666666666667,0.333333333333333
"S208","Female","AI-Generated","NF-1008",0.666666666666667,0.666666666666667,0.666666666666667
"S208","Female","AI-Generated","NF-1030",1,0.666666666666667,0.5
"S208","Female","Photograph","NF-1082",0.166666666666667,0.333333333333333,0.333333333333333
"S208","Female","AI-Generated","NF-1042",0.5,0.5,0.333333333333333
"S208","Female","AI-Generated","NF-1085",0.5,0.666666666666667,0.5
"S208","Female","AI-Generated","NF-1108",0.166666666666667,0.5,0.5
"S208","Female","Photograph","NF-1056",0.833333333333333,0.666666666666667,0.5
"S208","Female","Photograph","NF-1088",0.333333333333333,0.333333333333333,0.5
